type,element,name,value,limit,severity
overload,line_1152,w-854046_-4626138812--4626138310,90.3%,90.0%,warning
overload,line_1153,w-854046_-4626138310--4626138077,96.2%,90.0%,warning
overload,line_1154,w-854046_-4626138077--4626139021,102.0%,90.0%,warning
overload,line_1155,w-854046_-4626139021--4626138722,107.9%,90.0%,warning
overload,line_1156,w-854046_-4626138722--4626138419,112.1%,90.0%,warning
overload,line_1157,w-854046_-4626138419--4626138931,116.0%,90.0%,warning
overload,line_1158,w-854046_-4626138931--4626137954,153.4%,90.0%,critical
overload,line_1159,w-854046_-4626137954--4626138501,155.5%,90.0%,critical
overload,line_1160,w-854046_-4626138501--4626138627,157.4%,90.0%,critical
overload,line_1363,w-854159_-4626138627--4626138269,235.2%,90.0%,critical
overload,line_1364,w-854159_-4626138269--4626137863,243.3%,90.0%,critical
overload,line_1365,w-854159_-4626137863--4626138484,247.1%,90.0%,critical
overload,line_1366,w-854159_-4626138484--4626137810,250.8%,90.0%,critical
overload,line_1367,w-854159_-4626137810--4626137885,256.4%,90.0%,critical
overload,line_1368,w-854159_-4626137885--4626138095,256.4%,90.0%,critical
overload,line_1369,w-854159_-4626138095--4626138833,241.5%,90.0%,critical
overload,line_1370,w-854159_-4626138833--4626138558,234.3%,90.0%,critical
overload,line_1371,w-854159_-4626138558--4626138134,226.7%,90.0%,critical
overload,line_1372,w-854159_-4626138134--4626138291,222.9%,90.0%,critical
overload,line_1373,w-854159_-4626138291--4626138742,217.2%,90.0%,critical
overload,line_1374,w-854159_-4626138742--4626138355,213.2%,90.0%,critical
overload,line_1375,w-854159_-4626138355--4626138932,150.0%,90.0%,critical
overload,line_1376,w-854159_-4626138932--4626139023,147.7%,90.0%,critical
overload,line_1377,w-854159_-4626139023--4626137738,132.3%,90.0%,critical
overload,line_1378,w-854159_-4626137738--4626138826,130.3%,90.0%,critical
overload,line_1379,w-854159_-4626138826--4626138281,130.3%,90.0%,critical
overload,line_1380,w-854159_-4626138281--4626138245,130.3%,90.0%,critical
overload,line_1381,w-854159_-4626138245--4626138908,126.2%,90.0%,critical
overload,line_1382,w-854159_-4626138908--4626138564,120.2%,90.0%,critical
overload,line_1383,w-854159_-4626138564--4626138275,114.2%,90.0%,warning
overload,line_1384,w-854159_-4626138275--4626138081,114.2%,90.0%,warning
overload,line_1385,w-854159_-4626138081--4626138272,114.2%,90.0%,warning
overload,line_1386,w-854159_-4626138272--4626138789,111.8%,90.0%,warning
overload,line_1387,w-854159_-4626138789--4626138378,111.8%,90.0%,warning
overload,line_1388,w-854159_-4626138378--4626138632,107.8%,90.0%,warning
overload,line_1389,w-854159_-4626138632--4626139934,101.8%,90.0%,warning
overload,line_1390,w-854159_-4626139934--4626137807,101.8%,90.0%,warning
overload,line_1391,w-854159_-4626137807--4626138098,92.0%,90.0%,warning
